# Selection : patch(inlet)
# Faces  :    30
# Area   :    2.540000e-05
# Time        	areaAverage(p)	areaAverage(U)
0.0255484     	-2.233211e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.025771      	-1.148610e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0259936     	-2.135236e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0262162     	-1.157244e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0264387     	-2.180277e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0266613     	-1.346988e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0268839     	-2.496171e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0271065     	-1.477662e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0273291     	-2.804047e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0275516     	-1.432241e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0277742     	-3.224468e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0279968     	-1.539892e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0282194     	-3.844545e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.028442      	-1.639286e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0286645     	-4.259990e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0288871     	-1.638570e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0291097     	-4.459328e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0293323     	-1.523009e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0295548     	-4.537358e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0297774     	-1.428533e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.03          	-4.680713e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0302222     	-1.544681e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0304444     	-4.669671e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0306667     	-1.829150e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0308889     	-4.734684e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0311111     	-2.286906e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0313333     	-4.971080e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0315556     	-2.991943e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0317778     	-5.488592e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0319833     	-4.045264e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0321742     	-6.028118e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0323562     	-5.282731e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0325261     	-6.663181e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0326922     	-6.389820e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.032851      	-7.249554e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0330099     	-7.133211e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0331688     	-7.596634e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.033324      	-7.486797e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0334793     	-7.639016e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0336345     	-7.394267e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0337861     	-7.253001e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0339376     	-6.882796e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0340892     	-6.604509e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0342408     	-6.258615e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0343923     	-5.838418e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0345399     	-5.509443e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0346875     	-5.145546e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.034835      	-4.732754e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0349826     	-4.415636e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
